credit_amount,Country,gender,Age,Balance,annual_income,churn
619,France,Female,42,0,101348.88,1
608,Spain,Female,41,83807.86,112542.58,0
502,France,Female,42,159660.8,113931.57,1
699,France,Female,39,0,93826.63,0
850,Spain,Female,43,125510.82,79084.1,0
645,Spain,Male,44,113755.78,149756.71,1
822,France,Male,50,0,10062.8,0
376,Germany,Female,29,115046.74,119346.88,1
501,France,Male,44,142051.07,74940.5,0
684,France,Male,27,134603.88,71725.73,0
528,France,Male,31,102016.72,80181.12,0
497,Spain,Male,24,0,76390.01,0
476,France,Female,34,0,26260.98,0
549,France,Female,25,0,190857.79,0
635,Spain,Female,35,0,65951.65,0
616,Germany,Male,45,143129.41,64327.26,0
653,Germany,Male,58,132602.88,5097.67,1
549,Spain,Female,24,0,14406.41,0
587,Spain,Male,45,0,158684.81,0
726,France,Female,24,0,54724.03,0
732,France,Male,41,0,170886.17,0
636,Spain,Female,32,0,138555.46,0
510,Spain,Female,38,0,118913.53,1
669,France,Male,46,0,8487.75,0
846,France,Female,38,0,187616.16,0
577,France,Male,25,0,124508.29,0
756,Germany,Male,36,136815.64,170041.95,0
571,France,Male,44,0,38433.35,0
574,Germany,Female,43,141349.43,100187.43,0
411,France,Male,29,59697.17,53483.21,0
591,Spain,Female,39,0,140469.38,1
533,France,Male,36,85311.7,156731.91,0
553,Germany,Male,41,110112.54,81898.81,0
520,Spain,Female,42,0,34410.55,0
722,Spain,Female,29,0,142033.07,0
475,France,Female,45,134264.04,27822.99,1
490,Spain,Male,31,145260.23,114066.77,0
804,Spain,Male,33,76548.6,98453.45,0
850,France,Male,36,0,40812.9,0
582,Germany,Male,41,70349.48,178074.04,0
472,Spain,Male,40,0,70154.22,0
465,France,Female,51,122522.32,181297.65,1
556,France,Female,61,117419.35,94153.83,0
834,France,Female,49,131394.56,194365.76,1
660,Spain,Female,61,155931.11,158338.39,0
776,Germany,Female,32,109421.13,126517.46,0
829,Germany,Female,27,112045.67,119708.21,1
637,Germany,Female,39,137843.8,117622.8,1
550,Germany,Male,38,103391.38,90878.13,0
776,Germany,Female,37,103769.22,194099.12,0
698,Germany,Male,44,116363.37,198059.16,0
585,Germany,Male,36,146050.97,86424.57,0
788,France,Female,33,0,116978.19,0
655,Germany,Male,41,125561.97,164040.94,1
601,Germany,Male,42,98495.72,40014.76,1
619,France,Male,43,125211.92,113410.49,0
656,France,Male,45,127864.4,87107.57,0
725,Germany,Male,19,75888.2,45613.75,0
511,Spain,Female,66,0,1643.11,1
614,France,Male,51,40685.92,46775.28,0
742,Germany,Male,35,136857,84509.57,0
687,Germany,Female,27,152328.88,126494.82,0
555,Spain,Male,33,56084.69,178798.13,0
684,Spain,Male,56,78707.16,99398.36,0
603,Germany,Male,26,109166.37,92840.67,0
751,Germany,Female,36,169831.46,27758.36,0
581,Germany,Female,34,101633.04,110431.51,0
735,Germany,Male,43,123180.01,196673.28,0
661,Germany,Female,35,150725.53,113656.85,0
675,France,Female,21,98373.26,18203,0
738,Germany,Male,58,133745.44,28373.86,1
813,France,Male,29,0,33953.87,0
657,Spain,Female,37,163607.18,44203.55,0
604,Germany,Female,25,157780.84,58426.81,0
519,France,Male,36,0,145562.4,0
735,France,Female,21,178718.19,22388,0
664,France,Male,55,0,139161.64,0
678,France,Female,32,0,148210.64,0
757,Spain,Male,33,77253.22,194239.63,0
416,Germany,Female,41,122189.66,98301.61,0
665,France,Female,34,96645.54,171413.66,0
777,France,Female,32,0,136458.19,1
543,France,Female,36,0,26019.59,0
506,France,Female,34,90307.62,159235.29,0
493,France,Female,46,0,1907.66,0
652,Spain,Female,75,0,114675.75,0
750,Spain,Male,22,121681.82,128643.35,1
729,France,Male,30,0,151869.35,0
646,France,Female,46,0,93251.42,1
635,Germany,Female,28,81623.67,156791.36,0
647,Spain,Female,44,0,174205.22,1
808,France,Male,45,118626.55,147132.46,0
524,France,Female,36,0,109614.57,0
769,France,Male,29,0,172290.61,0
730,Spain,Male,42,0,85982.47,0
515,Spain,Male,35,176273.95,121277.78,0
773,Spain,Male,41,102827.44,64595.25,0
814,Germany,Male,29,97086.4,197276.13,0
710,Spain,Male,22,0,99645.04,0
413,France,Male,34,0,6534.18,0
665,France,Female,40,0,161848.03,0
623,France,Female,44,0,167162.43,0
738,France,Male,31,82674.15,41970.72,0
528,Spain,Male,36,0,60536.56,0
670,Spain,Female,65,0,177655.68,1
622,Spain,Female,46,107073.27,30984.59,1
582,Germany,Male,32,88938.62,10054.53,0
785,Germany,Female,36,99806.85,36976.52,0
605,Spain,Male,33,150092.8,71862.79,0
479,Germany,Male,35,92833.89,99449.86,1
685,Germany,Male,30,90536.81,63082.88,0
538,Germany,Male,39,108055.1,27231.26,0
562,France,Male,42,100238.35,86797.41,0
675,Spain,Male,36,106190.55,22994.32,0
721,Germany,Male,28,154475.54,101300.94,1
628,Germany,Female,30,132351.29,74169.13,0
668,Germany,Female,37,167864.4,115638.29,0
506,France,Female,41,0,31766.3,0
524,Germany,Female,31,107818.63,199725.39,1
699,Germany,Male,34,185173.81,120834.48,0
828,France,Male,34,129433.34,38131.77,0
674,Spain,Male,39,120193.42,100130.95,0
656,France,Female,39,0,141069.88,0
684,Germany,Female,48,126384.42,198129.36,0
625,France,Female,28,0,183646.41,0
432,France,Male,42,152603.45,110265.24,1
549,France,Female,52,0,8636.05,1
625,Germany,Male,56,148507.24,46824.08,1
828,France,Female,41,0,171378.77,0
770,France,Male,24,101827.07,167256.35,0
758,France,Female,34,0,124226.16,0
795,Germany,Female,33,130862.43,114935.21,0
687,France,Male,38,122570.87,35608.88,0
686,France,Male,25,0,16459.37,0
789,Germany,Male,39,124828.46,124411.08,0
589,Germany,Female,50,144895.05,34941.23,0
461,Germany,Female,34,63663.93,167784.28,0
637,France,Male,40,133463.1,93165.34,0
584,Spain,Female,48,213146.2,75161.25,1
579,Spain,Female,35,129490.36,8590.83,1
756,Germany,Male,44,137452.09,189543.9,0
663,France,Male,34,0,180427.24,0
682,France,Female,43,125851.93,193318.33,0
793,Spain,Male,52,0,159123.82,1
691,France,Female,31,40915.55,126213.84,1
485,Spain,Female,21,113157.22,54141.5,0
635,Spain,Female,29,138296.94,141075.51,0
650,France,Male,37,106967.18,24495.03,0
735,France,Male,44,120681.63,74836.34,0
416,France,Male,32,0,878.87,0
754,Spain,Female,32,0,89520.75,0
535,France,Female,48,0,149892.79,1
716,Spain,Male,42,0,180800.42,0
539,France,Male,37,127609.59,98646.22,0
614,France,Female,43,0,109041.53,0
706,Spain,Male,57,0,17941.16,1
758,France,Female,33,0,82996.47,0
586,Spain,Female,28,0,92067.35,0
646,France,Female,73,97259.25,104719.66,0
631,Germany,Female,33,123246.7,112687.57,0
717,Spain,Female,22,101060.25,84699.56,0
684,France,Male,30,0,83473.82,0
800,France,Female,49,108007.36,47125.11,0
721,Spain,Female,36,0,106977.8,0
683,Spain,Male,29,133702.89,55582.54,1
660,Germany,Male,31,125189.75,139874.43,0
704,Germany,Female,24,113034.22,162503.48,1
615,Spain,Female,41,109013.23,196499.96,0
667,Spain,Female,39,0,40721.24,1
682,Germany,Male,24,57929.81,53134.3,0
484,France,Female,29,130114.39,164017.89,0
628,Germany,Male,27,95826.49,155996.96,0
480,Germany,Male,44,129608.57,5472.7,1
578,France,Male,30,169462.09,112187.11,0
512,France,Male,40,0,146457.83,0
484,Spain,Female,35,133868.21,27286.1,0
510,France,Female,30,0,130553.47,0
606,Germany,Male,36,190479.48,179351.89,0
597,Spain,Female,40,101993.12,94774.12,0
754,Germany,Female,55,161608.81,8080.85,1
850,Spain,Female,45,122311.21,19482.5,0
510,France,Male,65,0,48071.61,0
778,Germany,Female,45,162150.42,174531.27,0
636,France,Male,42,0,55470.78,0
804,France,Female,50,0,8546.87,1
514,France,Male,32,0,95857.18,0
730,France,Female,39,99010.67,194945.8,0
525,Spain,Female,37,0,131521.72,0
616,Spain,Male,30,0,196108.51,0
687,Germany,Female,34,111388.18,148564.76,0
715,France,Female,41,56214.85,92982.61,1
512,France,Female,36,84327.77,17675.36,0
479,France,Male,40,0,114996.43,0
601,France,Male,32,93012.89,86957.42,0
580,Spain,Male,29,61710.44,128077.8,0
807,France,Male,35,174790.15,600.36,0
616,Spain,Female,32,0,43001.46,0
721,Germany,Male,37,107720.64,158591.12,0
501,France,Male,57,0,47847.19,0
521,France,Male,35,96423.84,10488.44,0
850,Spain,Male,30,141040.01,5978.2,0
759,France,Male,42,105420.18,121409.06,0
516,Spain,Male,50,0,146145.93,1
711,France,Female,38,129022.06,14374.86,1
512,Spain,Male,33,176666.62,94670.77,0
550,France,Male,37,0,179670.31,0
608,Spain,Female,41,89763.84,199304.74,1
618,France,Male,34,134954.53,151954.39,0
643,France,Male,45,0,142513.5,1
671,France,Male,45,106376.85,158264.62,0
689,Germany,Male,33,161814.64,169381.9,0
603,France,Male,31,0,169915.02,0
620,France,Female,41,0,88852.47,0
676,France,Female,34,63095.01,40645.81,0
572,Germany,Male,26,118287.01,60427.3,0
668,Germany,Male,47,106854.21,157959.02,1
695,France,Male,46,49512.55,133007.34,0
730,Spain,Female,33,0,176576.62,0
807,France,Male,43,105799.32,34888.04,1
592,France,Male,54,0,28737.71,1
726,France,Female,31,114722.05,98178.57,0
514,Spain,Male,30,0,125010.24,0
567,France,Male,42,0,167984.61,0
850,France,Male,33,0,4861.72,1
671,Germany,Male,45,99564.22,108872.45,1
670,France,Male,37,170557.91,198252.88,0
694,France,Female,30,0,26960.31,0
547,Germany,Female,39,74596.15,85746.52,1
751,Germany,Male,50,96888.39,77206.25,1
594,Germany,Female,29,130830.22,61048.53,0
673,France,Male,72,0,111981.19,0
610,France,Male,40,0,62232.6,0
512,France,Female,37,0,156105.03,0
767,Germany,Male,20,119714.25,150135.38,0
585,France,Female,67,113978.97,93146.11,0
763,Germany,Male,42,100160.75,33462.94,1
